,Unnamed: 0,norm_intensity,norm_intensity_error,norm_volume,norm_volume_error,offset(hz),slp(hz),trelax(s),fit_norm_intensity
0,0,0.595104212263,0.00323409304992,0.597990030014,0.00408084433241,-1500.0,9.999019136900001,0.2,0.5836870861488243
1,1,0.584183993144,0.00323409304992,0.576870858221,0.00408084433241,-1442.105,9.999019136900001,0.2,0.5836761505976379
2,2,0.580175041473,0.00323409304992,0.583610813943,0.00408084433241,-1384.211,9.999019136900001,0.2,0.5836667911673992
3,3,0.585188921283,0.00323409304992,0.5785440997300001,0.00408084433241,-1326.316,9.999019136900001,0.2,0.5836540824233507
4,4,0.5951854396149999,0.00323409304992,0.586854309679,0.00408084433241,-1268.421,9.999019136900001,0.2,0.5836400820917138
5,5,0.593458143441,0.00323409304992,0.585355282904,0.00408084433241,-1210.526,9.999019136900001,0.2,0.58362558944633
6,6,0.583285979638,0.00323409304992,0.599944466732,0.00408084433241,-1152.632,9.999019136900001,0.2,0.5836052280825541
7,7,0.581400394265,0.00323409304992,0.576802509584,0.00408084433241,-1094.737,9.999019136900001,0.2,0.5835867108046934
8,8,0.585255222242,0.00323409304992,0.5855633933609999,0.00408084433241,-1036.8419999999999,9.999019136900001,0.2,0.5835593522934769
9,9,0.581747866827,0.00323409304992,0.5780608302870001,0.00408084433241,-978.9474,9.999019136900001,0.2,0.583531701033878
10,10,0.596504516275,0.00323409304992,0.596085926124,0.00408084433241,-921.0526,9.999019136900001,0.2,0.5834964486617175
11,11,0.5848039591740001,0.00323409304992,0.579118005408,0.00408084433241,-863.1579,9.999019136900001,0.2,0.5834522662252243
12,12,0.583746267968,0.00323409304992,0.574847144216,0.00408084433241,-805.2632,9.999019136900001,0.2,0.5834043099101527
13,13,0.585022301074,0.00323409304992,0.583240561202,0.00408084433241,-747.3684,9.999019136900001,0.2,0.5833344183809015
14,14,0.57735985418,0.00323409304992,0.571512919378,0.00408084433241,-689.4737,9.999019136900001,0.2,0.5832592652825166
15,15,0.581312224404,0.00323409304992,0.579912372589,0.00408084433241,-631.5789,9.999019136900001,0.2,0.5831494469710862
16,16,0.575174005303,0.00323409304992,0.5823541648089999,0.00408084433241,-573.6842,9.999019136900001,0.2,0.5830136997966355
17,17,0.5868065258190001,0.00323409304992,0.594769007608,0.00408084433241,-515.7895,9.999019136900001,0.2,0.5828294547562949
18,18,0.580342008808,0.00323409304992,0.5731033253100001,0.00408084433241,-457.8947,9.999019136900001,0.2,0.5825574663495657
19,19,0.590163923045,0.00323409304992,0.5858991003239999,0.00408084433241,-400.0,9.999019136900001,0.2,0.5821903443365293
20,20,0.590238555014,0.00323409304992,0.5893985319899999,0.00408084433241,-400.0,9.999019136900001,0.2,0.5821903443365293
21,21,0.573434906865,0.00323409304992,0.575178486523,0.00408084433241,-383.5443,9.999019136900001,0.2,0.5820362188809495
22,22,0.581489258377,0.00323409304992,0.57840470937,0.00408084433241,-367.0886,9.999019136900001,0.2,0.5818636617183801
23,23,0.587592764934,0.00323409304992,0.588286009331,0.00408084433241,-350.6329,9.999019136900001,0.2,0.5816986136798106
24,24,0.57778126446,0.00323409304992,0.581040403703,0.00408084433241,-334.1772,9.999019136900001,0.2,0.5814876944010567
25,25,0.588254386017,0.00323409304992,0.587829485008,0.00408084433241,-317.7215,9.999019136900001,0.2,0.5812153841507818
26,26,0.582887826762,0.00323409304992,0.581695937714,0.00408084433241,-301.2658,9.999019136900001,0.2,0.5809382461399422
27,27,0.574864716539,0.00323409304992,0.579015110992,0.00408084433241,-284.8101,9.999019136900001,0.2,0.5806239420948477
28,28,0.581492382506,0.00323409304992,0.579016411102,0.00408084433241,-268.3544,9.999019136900001,0.2,0.580192314581581
29,29,0.580188579365,0.00323409304992,0.572723136014,0.00408084433241,-251.8987,9.999019136900001,0.2,0.5796902126794752
30,30,0.580864779716,0.00323409304992,0.583839633295,0.00408084433241,-235.44299999999998,9.999019136900001,0.2,0.5791455774193902
31,31,0.568532454319,0.00323409304992,0.561523153101,0.00408084433241,-218.9873,9.999019136900001,0.2,0.5784165377286871
32,32,0.570061888994,0.00323409304992,0.570086141571,0.00408084433241,-202.5316,9.999019136900001,0.2,0.5774478501534571
33,33,0.581676706113,0.00323409304992,0.575020894624,0.00408084433241,-186.0759,9.999019136900001,0.2,0.5763240822072153
34,34,0.579651576314,0.00323409304992,0.57581944073,0.00408084433241,-169.6203,9.999019136900001,0.2,0.57488048100148
35,35,0.5711813685279999,0.00323409304992,0.565831438887,0.00408084433241,-153.1646,9.999019136900001,0.2,0.5727837737813096
36,36,0.579113531887,0.00323409304992,0.582396325518,0.00408084433241,-136.7089,9.999019136900001,0.2,0.5699658633749471
37,37,0.560694014829,0.00323409304992,0.56643998321,0.00408084433241,-120.2532,9.999019136900001,0.2,0.5661819673234055
38,38,0.5554545034839999,0.00323409304992,0.555734413539,0.00408084433241,-103.7975,9.999019136900001,0.2,0.5602970626397717
39,39,0.553034344938,0.00323409304992,0.5487390790760001,0.00408084433241,-87.34177,9.999019136900001,0.2,0.5506493549963369
40,40,0.535271242081,0.00323409304992,0.535279412202,0.00408084433241,-70.88608,9.999019136900001,0.2,0.5346753595261063
41,41,0.496613964926,0.00323409304992,0.48378400716200004,0.00408084433241,-54.43038000000001,9.999019136900001,0.2,0.5046379788966852
42,42,0.424247336593,0.00323409304992,0.407255170723,0.00408084433241,-37.97468,9.999019136900001,0.2,0.43661275423271784
43,43,0.22390920170499998,0.00323409304992,0.233919125732,0.00408084433241,-21.51899,9.999019136900001,0.2,0.2601996266988042
44,44,0.051927882607699996,0.00323409304992,0.0510758688449,0.00408084433241,-5.063291,9.999019136900001,0.2,0.02653696259923677
45,45,0.124770315777,0.00323409304992,0.141658680277,0.00408084433241,11.39241,9.999019136900001,0.2,0.08958116663320866
46,46,0.33531005070500003,0.00323409304992,0.332426228047,0.00408084433241,27.8481,9.999019136900001,0.2,0.3497045938781524
47,47,0.468393014031,0.00323409304992,0.469796959971,0.00408084433241,44.3038,9.999019136900001,0.2,0.4694859466007456
48,48,0.5200727019520001,0.00323409304992,0.513347857419,0.00408084433241,60.75949,9.999019136900001,0.2,0.5177813947144584
