,Unnamed: 0,norm_intensity,norm_intensity_error,norm_volume,norm_volume_error,offset(hz),slp(hz),trelax(s),fit_norm_intensity
0,0,0.512943871865,0.0008307234866080001,0.511278018669,0.00202532474219,-1000.0,9.999019136900001,0.2,0.5131248964878063
1,1,0.512834353264,0.0008307234866080001,0.510723653267,0.00202532474219,-922.2222,9.999019136900001,0.2,0.5130839295374777
2,2,0.513367699947,0.0008307234866080001,0.516080888083,0.00202532474219,-844.4445,9.999019136900001,0.2,0.5130409468461664
3,3,0.507680746254,0.0008307234866080001,0.508346550901,0.00202532474219,-766.6667,9.999019136900001,0.2,0.512974128983927
4,4,0.515760488459,0.0008307234866080001,0.514355480484,0.00202532474219,-688.8889,9.999019136900001,0.2,0.5128920221084097
5,5,0.515244356082,0.0008307234866080001,0.513700266755,0.00202532474219,-611.1111,9.999019136900001,0.2,0.5127714713064108
6,6,0.514939247351,0.0008307234866080001,0.517058644804,0.00202532474219,-533.3333,9.999019136900001,0.2,0.5125922636039509
7,7,0.509472814852,0.0008307234866080001,0.508814744626,0.00202532474219,-455.5555,9.999019136900001,0.2,0.5123269920082073
8,8,0.51610952335,0.0008307234866080001,0.514433584295,0.00202532474219,-377.7778,9.999019136900001,0.2,0.5118473502819638
9,9,0.511896470395,0.0008307234866080001,0.514150264866,0.00202532474219,-300.0,9.999019136900001,0.2,0.5110142433803624
10,10,0.511485107845,0.0008307234866080001,0.5110277431600001,0.00202532474219,-300.0,9.999019136900001,0.2,0.5110142433803624
11,11,0.5150920985149999,0.0008307234866080001,0.514130009372,0.00202532474219,-290.6897,9.999019136900001,0.2,0.5108511364430601
12,12,0.5125434908550001,0.0008307234866080001,0.5122889051389999,0.00202532474219,-281.3793,9.999019136900001,0.2,0.5106628101497006
13,13,0.508918692283,0.0008307234866080001,0.509622818672,0.00202532474219,-272.069,9.999019136900001,0.2,0.5104611627851617
14,14,0.5076207929819999,0.0008307234866080001,0.5063309576039999,0.00202532474219,-262.7586,9.999019136900001,0.2,0.5102565167809806
15,15,0.5070509400990001,0.0008307234866080001,0.503033174379,0.00202532474219,-253.4483,9.999019136900001,0.2,0.5100476171637198
16,16,0.507970124671,0.0008307234866080001,0.509625994322,0.00202532474219,-244.1379,9.999019136900001,0.2,0.5098184724575364
17,17,0.506551131633,0.0008307234866080001,0.50322302672,0.00202532474219,-234.8276,9.999019136900001,0.2,0.5095454557639557
18,18,0.506056071941,0.0008307234866080001,0.50674507946,0.00202532474219,-225.5172,9.999019136900001,0.2,0.5092107420691578
19,19,0.507017995479,0.0008307234866080001,0.505927306809,0.00202532474219,-216.2069,9.999019136900001,0.2,0.5088129900449178
20,20,0.5056580653180001,0.0008307234866080001,0.506197751983,0.00202532474219,-206.8965,9.999019136900001,0.2,0.5083664121757256
21,21,0.510529713871,0.0008307234866080001,0.510755238105,0.00202532474219,-197.5862,9.999019136900001,0.2,0.507886626837374
22,22,0.5073732631360001,0.0008307234866080001,0.511205751187,0.00202532474219,-188.2759,9.999019136900001,0.2,0.5073711401148481
23,23,0.505733155307,0.0008307234866080001,0.506382883764,0.00202532474219,-178.9655,9.999019136900001,0.2,0.5067877960438631
24,24,0.505059422992,0.0008307234866080001,0.508827103911,0.00202532474219,-169.6552,9.999019136900001,0.2,0.5060812065819316
25,25,0.501442341177,0.0008307234866080001,0.505222655942,0.00202532474219,-160.3448,9.999019136900001,0.2,0.5051952312655382
26,26,0.49952146208400006,0.0008307234866080001,0.49879265240500004,0.00202532474219,-151.0345,9.999019136900001,0.2,0.504097119010867
27,27,0.5011948113310001,0.0008307234866080001,0.502010357767,0.00202532474219,-141.7241,9.999019136900001,0.2,0.5027830097871072
28,28,0.49751926023599996,0.0008307234866080001,0.498878051627,0.00202532474219,-132.4138,9.999019136900001,0.2,0.5012529609834928
29,29,0.5008531964,0.0008307234866080001,0.505225488278,0.00202532474219,-123.1034,9.999019136900001,0.2,0.4994616766675407
30,30,0.493634466285,0.0008307234866080001,0.489884440691,0.00202532474219,-113.7931,9.999019136900001,0.2,0.4972697609913256
31,31,0.49424319975599995,0.0008307234866080001,0.495418396108,0.00202532474219,-104.4828,9.999019136900001,0.2,0.4944237232403554
32,32,0.493035527161,0.0008307234866080001,0.490981498838,0.00202532474219,-95.17241999999999,9.999019136900001,0.2,0.4905764418530777
33,33,0.485601024627,0.0008307234866080001,0.487761733596,0.00202532474219,-85.86206999999999,9.999019136900001,0.2,0.4853222821975825
34,34,0.480919623834,0.0008307234866080001,0.477867010667,0.00202532474219,-76.55173,9.999019136900001,0.2,0.47817860008783575
35,35,0.474033901498,0.0008307234866080001,0.470294374122,0.00202532474219,-67.24138,9.999019136900001,0.2,0.4684097536399514
36,36,0.460856943974,0.0008307234866080001,0.458676389304,0.00202532474219,-57.93103000000001,9.999019136900001,0.2,0.4545547588694076
37,37,0.439793756787,0.0008307234866080001,0.44219039134300003,0.00202532474219,-48.62069,9.999019136900001,0.2,0.4334448592511618
38,38,0.40978091135300004,0.0008307234866080001,0.406346235053,0.00202532474219,-39.310340000000004,9.999019136900001,0.2,0.3983039884722315
39,39,0.35676322375299996,0.0008307234866080001,0.358893878378,0.00202532474219,-30.0,9.999019136900001,0.2,0.33546351410344816
40,40,0.30688239819400004,0.0008307234866080001,0.303665815249,0.00202532474219,30.0,9.999019136900001,0.2,0.33331521321904095
