,Unnamed: 0,norm_intensity,norm_intensity_error,norm_volume,norm_volume_error,offset(hz),slp(hz),trelax(s),fit_norm_intensity
0,0,0.595104212263,0.00323409304992,0.597990030014,0.00408084433241,-1500.0,9.999019136900001,0.2,0.5836657588352838
1,1,0.584183993144,0.00323409304992,0.576870858221,0.00408084433241,-1442.105,9.999019136900001,0.2,0.5836548153751391
2,2,0.580175041473,0.00323409304992,0.583610813943,0.00408084433241,-1384.211,9.999019136900001,0.2,0.5836454367657867
3,3,0.585188921283,0.00323409304992,0.5785440997300001,0.00408084433241,-1326.316,9.999019136900001,0.2,0.5836327148080181
4,4,0.5951854396149999,0.00323409304992,0.586854309679,0.00408084433241,-1268.421,9.999019136900001,0.2,0.5836186957982408
5,5,0.593458143441,0.00323409304992,0.585355282904,0.00408084433241,-1210.526,9.999019136900001,0.2,0.5836041792182233
6,6,0.583285979638,0.00323409304992,0.599944466732,0.00408084433241,-1152.632,9.999019136900001,0.2,0.5835838003658727
7,7,0.581400394265,0.00323409304992,0.576802509584,0.00408084433241,-1094.737,9.999019136900001,0.2,0.5835652471719592
8,8,0.585255222242,0.00323409304992,0.5855633933609999,0.00408084433241,-1036.8419999999999,9.999019136900001,0.2,0.5835378660267272
9,9,0.581747866827,0.00323409304992,0.5780608302870001,0.00408084433241,-978.9474,9.999019136900001,0.2,0.5835101708251732
10,10,0.596504516275,0.00323409304992,0.596085926124,0.00408084433241,-921.0526,9.999019136900001,0.2,0.5834748778283089
11,11,0.5848039591740001,0.00323409304992,0.579118005408,0.00408084433241,-863.1579,9.999019136900001,0.2,0.5834306476128381
12,12,0.583746267968,0.00323409304992,0.574847144216,0.00408084433241,-805.2632,9.999019136900001,0.2,0.5833826188145211
13,13,0.585022301074,0.00323409304992,0.583240561202,0.00408084433241,-747.3684,9.999019136900001,0.2,0.5833126696734986
14,14,0.57735985418,0.00323409304992,0.571512919378,0.00408084433241,-689.4737,9.999019136900001,0.2,0.5832374034955705
15,15,0.581312224404,0.00323409304992,0.579912372589,0.00408084433241,-631.5789,9.999019136900001,0.2,0.5831274896506703
16,16,0.575174005303,0.00323409304992,0.5823541648089999,0.00408084433241,-573.6842,9.999019136900001,0.2,0.5829915829473784
17,17,0.5868065258190001,0.00323409304992,0.594769007608,0.00408084433241,-515.7895,9.999019136900001,0.2,0.5828071431317989
18,18,0.580342008808,0.00323409304992,0.5731033253100001,0.00408084433241,-457.8947,9.999019136900001,0.2,0.5825349207962351
19,19,0.590163923045,0.00323409304992,0.5858991003239999,0.00408084433241,-400.0,9.999019136900001,0.2,0.5821673871539567
20,20,0.590238555014,0.00323409304992,0.5893985319899999,0.00408084433241,-400.0,9.999019136900001,0.2,0.5821673871539567
21,21,0.573434906865,0.00323409304992,0.575178486523,0.00408084433241,-383.5443,9.999019136900001,0.2,0.5820131633614473
22,22,0.581489258377,0.00323409304992,0.57840470937,0.00408084433241,-367.0886,9.999019136900001,0.2,0.5818405065449582
23,23,0.587592764934,0.00323409304992,0.588286009331,0.00408084433241,-350.6329,9.999019136900001,0.2,0.5816752373566261
24,24,0.57778126446,0.00323409304992,0.581040403703,0.00408084433241,-334.1772,9.999019136900001,0.2,0.5814641154973341
25,25,0.588254386017,0.00323409304992,0.587829485008,0.00408084433241,-317.7215,9.999019136900001,0.2,0.5811916821609373
26,26,0.582887826762,0.00323409304992,0.581695937714,0.00408084433241,-301.2658,9.999019136900001,0.2,0.5809142877215698
27,27,0.574864716539,0.00323409304992,0.579015110992,0.00408084433241,-284.8101,9.999019136900001,0.2,0.5805996194176507
28,28,0.581492382506,0.00323409304992,0.579016411102,0.00408084433241,-268.3544,9.999019136900001,0.2,0.5801677521667057
29,29,0.580188579365,0.00323409304992,0.572723136014,0.00408084433241,-251.8987,9.999019136900001,0.2,0.5796653576726021
30,30,0.580864779716,0.00323409304992,0.583839633295,0.00408084433241,-235.44299999999998,9.999019136900001,0.2,0.5791201475563791
31,31,0.568532454319,0.00323409304992,0.561523153101,0.00408084433241,-218.9873,9.999019136900001,0.2,0.5783905611649137
32,32,0.570061888994,0.00323409304992,0.570086141571,0.00408084433241,-202.5316,9.999019136900001,0.2,0.5774214399717991
